file,emotion,text,speaker
Ses01F_impro01_F000,neu,I'm sorry.,Ses01F
Ses01F_impro01_F001,neu,Yeah.,Ses01F
Ses01F_impro01_F002,neu,Is there a problem?,Ses01F
Ses01F_impro01_F005,neu,Is there a problem?,Ses01F
Ses01F_impro01_F012,ang,It's out of control.,Ses01F
Ses01F_impro01_F014,neu,"Obviously, you know, do you have like a boss or something?",Ses01F
Ses01F_impro01_M011,ang,"I don't understand why when people get here, it's so complicated for these people, it's just a simple form. I just need an ID.",Ses01M
Ses01F_impro01_M013,ang,Do you want to see my boss?,Ses01M
Ses01F_impro02_F000,sad,Did you get my letter? Did you see my letter?,Ses01F
Ses01F_impro02_F001,sad,"Yeah, I know. ( applause ) ( applause ) ( applause ) ( applause ) ( applause ) ( applause ) ( applause ) ( applause ) ( applause ) ( applause ) ( applause ) ( applause ) ( applause ) ( applause )",Ses01F
Ses01F_impro02_F002,sad,"I don't know. I wrote that in. Please, they didn't...",Ses01F
Ses01F_impro02_F003,neu,"I guess, you know, everybody has to make sacrifices.",Ses01F
Ses01F_impro02_F004,sad,"Some people have given more though, you know?",Ses01F
Ses01F_impro02_F005,sad,I know.,Ses01F
Ses01F_impro02_F006,neu,"There's babies there, though, that needs a mother.",Ses01F
Ses01F_impro02_F008,sad,"Just, you know, kick myself.",Ses01F
Ses01F_impro02_F010,sad,It's not what they look like.,Ses01F
Ses01F_impro02_F012,sad,"If it wasn't for me, who would it be?",Ses01F
Ses01F_impro02_F013,sad,"You'll record everything, won't you?",Ses01F
Ses01F_impro02_F014,sad,"Maybe you could send it to me, like running water, huh?",Ses01F
Ses01F_impro02_F015,sad,Last month-- yeah.,Ses01F
Ses01F_impro02_F016,neu,I have to find a seat.,Ses01F
Ses01F_impro02_F017,sad,We have friends. That's why we moved here?,Ses01F
Ses01F_impro02_F018,neu,Your mother's around.,Ses01F
Ses01F_impro02_F019,sad,I'll send you a lot of letters.,Ses01F
Ses01F_impro02_F020,sad,"I want many, many, many, many pictures.",Ses01F
Ses01F_impro02_M001,sad,I don't understand. You've done so much. I don't know why you're going back.,Ses01M
Ses01F_impro02_M005,sad,I don't know how you can accept this.,Ses01M
Ses01F_impro02_M009,sad,I just don't understand why it has to be you.,Ses01M
Ses01F_impro02_M010,sad,What am I supposed to do?,Ses01M
