file,emotion,text,speaker
Ses01F_impro01_F000,neu,excuse me.,Ses01F
Ses01F_impro01_F001,neu,yeah.,Ses01F
Ses01F_impro01_F002,neu,is there a problem?,Ses01F
Ses01F_impro01_F003,xxx,you did.,Ses01F
Ses01F_impro01_F004,xxx,you were standing at the beginning and you directed me.,Ses01F
Ses01F_impro01_F005,neu,well what's the problem? let me change it.,Ses01F
Ses01F_impro01_F006,fru,what? i'm getting an id. this is why i'm here. my wallet was stolen.,Ses01F
Ses01F_impro01_F007,fru,how am i supposed to get an id without an id? how does a person get an id in the first place?,Ses01F
Ses01F_impro01_F008,fru,i'm here to get an id.,Ses01F
Ses01F_impro01_F009,fru,like what? like a birth certificate?,Ses01F
Ses01F_impro01_F010,xxx,who the hell has a birth certificate?,Ses01F
Ses01F_impro01_F011,fru,"yes but my wallet was stolen, i don't have anything. i don't have any credit cards, i don't have my id. don't you have things on file here?",Ses01F
Ses01F_impro01_F012,ang,that's out of control.,Ses01F
Ses01F_impro01_F013,fru,how long have you been working here?,Ses01F
Ses01F_impro01_F014,neu,"clearly. you know, do you have like a supervisor or something?",Ses01F
Ses01F_impro01_F015,fru,that would - i would appreciate that. yeah.,Ses01F
Ses01F_impro01_M000,fru,do you have your forms?,Ses01M
Ses01F_impro01_M001,fru,let me see them.,Ses01M
Ses01F_impro01_M002,fru,who told you to get in this line?,Ses01M
Ses01F_impro01_M003,fru,okay. but i didn't tell you to get in this line if you are filling out this particular form.,Ses01M
Ses01F_impro01_M004,fru,this form is a z.x.four.,Ses01M
Ses01F_impro01_M005,fru,"you can't-- this is not the line for z.x.four. if you're going to fill out the z.x.four, you need to have a different form of id.",Ses01M
Ses01F_impro01_M006,fru,no. i need another set of id to prove this is actually you.,Ses01M
Ses01F_impro01_M007,fru,i don't know. but i need an id to pass this form along. i can't just send it along without an id.,Ses01M
Ses01F_impro01_M008,fru,"no. i need another id, a separate one.",Ses01M
Ses01F_impro01_M009,fru,"a birth certificate, a passport...a student id; didn't you go to school? anything?",Ses01M
Ses01F_impro01_M010,fru,"yeah. we keep it on file, but we need an id to access that file.",Ses01M
Ses01F_impro01_M011,ang,i don't understand why this is so complicated for people when they get here. it's just a simple form. i just need an id.,Ses01M
Ses01F_impro01_M012,xxx,actually too long.,Ses01M
Ses01F_impro01_M013,ang,yeah. do you want to see my supervisor? huh? yeah. do you want to see my supervisor? fine. i'll be right back.,Ses01M
Ses01F_impro02_F000,sad,did you get the mail? so you saw my letter?,Ses01F
Ses01F_impro02_F001,sad,yeah. i know.,Ses01F
Ses01F_impro02_F002,sad,i don't know. i put in that. request too. they didn't...,Ses01F
Ses01F_impro02_F003,neu,"i guess, you know, everybody has to make sacrifices.",Ses01F
Ses01F_impro02_F004,sad,"there's people that have given more though, you know?",Ses01F
Ses01F_impro02_F005,sad,i know.,Ses01F
Ses01F_impro02_F006,neu,"there's babies over there, though, that need mothers.",Ses01F
Ses01F_impro02_F007,xxx,"i'm not okay with it, but i don't-- it's not like i have a choice. i don't see what crying about it is going to fix.",Ses01F
Ses01F_impro02_F008,sad,"just, you know, kicking myself.",Ses01F
Ses01F_impro02_F009,xxx,like you sign up because you need money and,Ses01F
Ses01F_impro02_F010,sad,things just aren't what they seem.,Ses01F
Ses01F_impro02_F011,xxx,"we're doing the right thing, though.",Ses01F
Ses01F_impro02_F012,sad,"if not me then, who?",Ses01F
Ses01F_impro02_F013,sad,"you'll videotape everything, yeah?",Ses01F
Ses01F_impro02_F014,sad,"maybe you can send it to me, like stream it, yeah?",Ses01F
Ses01F_impro02_F015,sad,last month-- yeah.,Ses01F
Ses01F_impro02_F016,neu,i have to find sitters.,Ses01F
Ses01F_impro02_F017,sad,"we've got friends, that's why we moved here, huh? because there is a day care down the street.",Ses01F
